139,22,41,0
140,26,42,0
142,19,43,0
141,15,42,0
142,17,44,0
142,17,42,0
140,17,34,0
143,20,45,0
142,21,42,0
141,14,38,0
135,17,44,0
128,17,45,0
125,16,37,0
122,21,32,0
121,22,39,0
119,21,38,0
121,20,41,0
117,19,34,0
119,23,38,0
114,21,40,0
120,22,43,0
120,25,47,0
120,25,45,0
118,27,38,0
117,26,39,0
116,23,42,0
118,20,44,0
116,24,46,0
100,9,20,0
124,21,43,0
129,22,52,0
137,20,38,0
138,19,43,0
142,19,53,0
140,22,49,0
137,16,37,0
138,18,38,0
138,17,44,0
139,15,38,0
143,17,40,0
144,14,39,0
139,20,39,0
135,17,36,0
131,16,38,0
125,20,30,0
126,16,37,0
122,19,42,0
121,24,41,0
119,26,27,0
119,22,34,0
121,25,38,0
119,23,39,0
119,24,42,0
123,25,44,0
119,27,40,0
117,31,48,0
118,24,49,0
117,26,41,0
118,24,42,0
114,23,41,0
101,10,18,0
126,22,44,0
128,18,48,0
137,17,47,0
28,47,99,2
28,50,105,2
28,48,99,2
24,48,100,2
29,45,99,2
26,47,102,2
27,46,99,2
29,47,102,2
24,49,97,2
28,46,104,2
33,49,103,2
31,47,99,2
30,47,98,2
33,48,100,2
36,48,98,2
39,52,102,2
31,48,98,2
34,51,101,2
29,51,102,2
33,54,103,2
35,54,107,2
35,55,106,2
37,57,110,2
38,58,111,2
40,55,108,2
39,55,105,2
38,53,99,2
34,52,98,2
31,49,102,2
32,49,99,2
26,50,100,2
29,48,98,2
27,50,100,2
29,51,105,2
29,49,104,2
21,47,97,2
29,48,102,2
28,49,101,2
25,45,102,2
29,48,97,2
29,46,101,2
31,45,100,2
33,49,103,2
30,46,97,2
31,46,96,2
31,48,102,2
33,51,98,2
35,52,103,2
32,50,97,2
34,49,106,2
32,51,101,2
39,52,104,2
36,56,106,2
37,54,106,2
41,59,112,2
40,58,110,2
36,56,107,2
40,54,107,2
39,52,102,2
37,58,102,2
36,50,99,2
32,50,98,2
30,52,105,2
33,50,104,2
26,27,29,3
27,27,32,3
28,33,31,3
26,28,35,3
30,19,34,3
29,29,29,3
29,25,35,3
33,25,28,3
30,28,28,3
32,32,34,3
31,27,34,3
30,27,35,3
27,26,31,3
